Nuklid,e_inh,e_ing,LE,LA,CA
,[Sv/Bq],[Sv/Bq],[Bq/kg],[Bq],{Bq/m^3]
,,,,,
Sr-80/Rb-80,2.10E-010,3.50E-010,3.00E+004,2.00E+007,4.00E+004
Sr-81,6.10E-011,7.80E-011,1.00E+005,8.00E+007,1.00E+005
Sr-82/Rb-82,7.70E-009,6.10E-009,2.00E+003,6.00E+005,1.00E+003
Sr-83,4.90E-010,5.80E-010,2.00E+004,1.00E+007,2.00E+004
Sr-85,6.40E-010,5.60E-010,2.00E+004,8.00E+006,1.00E+004
Sr-85m,7.40E-012,6.10E-012,2.00E+006,7.00E+008,1.00E+006
Sr-87m,3.50E-011,3.30E-011,3.00E+005,1.00E+008,2.00E+005
Sr-89,5.60E-009,2.60E-009,4.00E+003,9.00E+005,1.00E+003
Sr-90,7.70E-008,2.80E-008,4.00E+002,6.00E+004,1.00E+002
Sr-91,5.70E-010,7.60E-010,1.00E+004,9.00E+006,1.00E+004
Sr-92,3.40E-010,4.90E-010,2.00E+004,1.00E+007,2.00E+004
Y-86,8.10E-010,9.60E-010,1.00E+004,6.00E+006,1.00E+004
Y-86m,4.90E-011,5.60E-011,2.00E+005,1.00E+008,2.00E+005
Y-87,5.30E-010,5.50E-010,2.00E+004,9.00E+006,2.00E+004
Y-88,3.30E-009,1.30E-009,8.00E+003,2.00E+006,3.00E+003
Y-90,1.70E-009,2.70E-009,4.00E+003,3.00E+006,5.00E+003
Y-90m,1.30E-010,1.70E-010,6.00E+004,4.00E+007,6.00E+004
Y-91,6.10E-009,2.40E-009,4.00E+003,8.00E+005,1.00E+003
Y-91m,1.50E-011,1.10E-011,9.00E+005,3.00E+008,6.00E+005
Y-92,2.80E-010,4.90E-010,2.00E+004,2.00E+007,3.00E+004
Y-93,6.00E-010,1.20E-009,8.00E+003,8.00E+006,1.00E+004
Y-94,4.60E-011,8.10E-011,1.00E+005,1.00E+008,2.00E+005
Y-95,2.60E-011,4.60E-011,2.00E+005,2.00E+008,3.00E+005
Zr-86,7.00E-010,8.60E-010,1.00E+004,7.00E+006,1.00E+004
Zr-88,4.10E-009,3.30E-010,3.00E+004,1.00E+006,2.00E+003
Zr-89,7.50E-010,7.90E-010,1.00E+004,7.00E+006,1.00E+004
Zr-93,2.90E-008,2.80E-010,4.00E+004,2.00E+005,3.00E+002
Zr-95,4.20E-009,8.80E-010,1.00E+004,1.00E+006,2.00E+003
,,,,,
,,,,,
Zr-97,1.40E-009,2.10E-009,5.00E+003,4.00E+006,6.00E+003
Nb-88,5.00E-011,6.30E-011,2.00E+005,1.00E+008,2.00E+005
Nb-89,1.90E-010,3.00E-010,3.00E+004,3.00E+007,4.00E+004
Nb-90,1.10E-009,1.20E-009,8.00E+003,5.00E+006,8.00E+003
Nb-91,4.10E-009,6.40E-011,2.00E+005,1.00E+006,2.00E+003
Nb-91m,2.30E-009,6.30E-010,2.00E+004,2.00E+006,4.00E+003
Nb-92m,5.90E-010,6.00E-010,2.00E+004,8.00E+006,1.00E+004
Nb-93m,8.60E-010,1.20E-010,8.00E+004,6.00E+006,1.00E+004
Nb-94,2.50E-008,1.70E-009,6.00E+003,2.00E+005,3.00E+002
Nb-95,1.30E-009,5.80E-010,2.00E+004,4.00E+006,6.00E+003
Nb-95m,8.50E-010,5.60E-010,2.00E+004,6.00E+006,1.00E+004
Nb-96,9.70E-010,1.10E-009,9.00E+003,5.00E+006,9.00E+003
Nb-97,7.20E-011,6.80E-011,1.00E+005,7.00E+007,1.00E+005
Nb-98,9.90E-011,1.10E-010,9.00E+004,5.00E+007,8.00E+004
Mo-90,5.60E-010,6.20E-010,2.00E+004,9.00E+006,1.00E+004
Mo-93,1.40E-009,2.60E-009,4.00E+003,4.00E+006,6.00E+003
Mo-93m,3.00E-010,2.80E-010,4.00E+004,2.00E+007,3.00E+004
Mo-99,1.10E-009,1.20E-009,8.00E+003,5.00E+006,8.00E+003
Mo-101,4.50E-011,4.20E-011,2.00E+005,1.00E+008,2.00E+005
Tc-93,6.50E-011,4.90E-011,2.00E+005,8.00E+007,1.00E+005
Tc-93m,3.10E-011,2.40E-011,4.00E+005,2.00E+008,3.00E+005
Tc-94,2.20E-010,1.80E-010,6.00E+004,2.00E+007,4.00E+004
Tc-94m,8.00E-011,1.10E-010,9.00E+004,6.00E+007,1.00E+005
Tc-95,1.80E-010,1.60E-010,6.00E+004,3.00E+007,5.00E+004
Tc-95m,8.60E-010,6.20E-010,2.00E+004,6.00E+006,1.00E+004
Tc-96,1.00E-009,1.10E-009,9.00E+003,5.00E+006,8.00E+003
Tc-96m,1.10E-011,1.30E-011,8.00E+005,5.00E+008,8.00E+005
,,,,,
,,,,,
Tc-97,1.60E-010,8.30E-011,1.00E+005,3.00E+007,5.00E+004
Tc-97m,2.70E-009,6.60E-010,2.00E+004,2.00E+006,3.00E+003
Tc-98,6.10E-009,2.30E-009,4.00E+003,8.00E+005,1.00E+003
Tc-99,3.20E-009,7.80E-010,1.00E+004,2.00E+006,3.00E+003
Tc-99m,2.90E-011,2.20E-011,5.00E+005,2.00E+008,3.00E+005
Tc-101,2.10E-011,1.90E-011,5.00E+005,2.00E+008,4.00E+005
Tc-104,4.80E-011,8.10E-011,1.00E+005,1.00E+008,2.00E+005
Ru-94,7.40E-011,9.40E-011,1.00E+005,7.00E+007,1.00E+005
Ru-97,1.60E-010,1.50E-010,7.00E+004,3.00E+007,5.00E+004
Ru-103,2.20E-009,7.30E-010,1.00E+004,2.00E+006,4.00E+003
Ru-105,2.50E-010,2.60E-010,4.00E+004,2.00E+007,3.00E+004
Ru-106/Rh-106,3.50E-008,7.00E-009,1.00E+003,1.00E+005,2.00E+002
Rh-99,8.90E-010,5.10E-010,2.00E+004,6.00E+006,9.00E+003
Rh-99m,7.30E-011,6.60E-011,2.00E+005,7.00E+007,1.00E+005
Rh-100,6.30E-010,7.10E-010,1.00E+004,8.00E+006,1.00E+004
Rh-101,3.10E-009,5.50E-010,2.00E+004,2.00E+006,3.00E+003
Rh-101m,2.70E-010,2.20E-010,5.00E+004,2.00E+007,3.00E+004
Rh-102,9.00E-009,2.60E-009,4.00E+003,6.00E+005,9.00E+002
Rh-102m,4.20E-009,1.20E-009,8.00E+003,1.00E+006,2.00E+003
Rh-103m,2.50E-012,3.80E-012,3.00E+006,2.00E+009,3.00E+006
Rh-105,4.40E-010,3.70E-010,3.00E+004,1.00E+007,2.00E+004
Rh-106m,1.90E-010,1.60E-010,6.00E+004,3.00E+007,4.00E+004
Rh-107,2.80E-011,2.40E-011,4.00E+005,2.00E+008,3.00E+005
Pd-100,9.70E-010,9.40E-010,1.00E+004,5.00E+006,9.00E+003
Pd-101,1.00E-010,9.40E-011,1.00E+005,5.00E+007,8.00E+004
Pd-103,3.00E-010,1.90E-010,5.00E+004,2.00E+007,3.00E+004
Pd-107,2.90E-010,3.70E-011,3.00E+005,2.00E+007,3.00E+004
Pd-109,5.00E-010,5.50E-010,2.00E+004,1.00E+007,2.00E+004
,,,,,
,,,,,
Ag-102,3.20E-011,4.00E-011,3.00E+005,2.00E+008,3.00E+005
Ag-103,4.50E-011,4.30E-011,2.00E+005,1.00E+008,2.00E+005
Ag-104,7.10E-011,6.00E-011,2.00E+005,7.00E+007,1.00E+005
Ag-104m,4.50E-011,5.40E-011,2.00E+005,1.00E+008,2.00E+005
Ag-105,8.00E-010,4.70E-010,2.00E+004,6.00E+006,1.00E+004
Ag-106,2.70E-011,3.20E-011,3.00E+005,2.00E+008,3.00E+005
Ag-106m,1.60E-009,1.50E-009,7.00E+003,3.00E+006,5.00E+003
Ag-108m/Ag-108,1.90E-008,2.30E-009,4.00E+003,3.00E+005,4.00E+002
Ag-110m/Ag-110,7.30E-009,2.80E-009,4.00E+003,7.00E+005,1.00E+003
